scenario,protocol,mobility,maxPaths,numNodes,numFlows,meanVelMin,meanVelMax,pktInterval,simTime,seed,deliveryRatio,avgDelayMs,throughputMbps,routingOverhead,totalEnergyJ,nodesDead
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,3,56.7925,211.5972,0.1330,39019,541.8310,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,4,37.9395,243.8622,0.0889,38864,543.4415,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,5,54.1738,277.0276,0.1269,30001,541.3532,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,6,58.4337,312.2684,0.1369,36221,542.7534,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,7,40.2754,200.2131,0.0943,30446,542.4322,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,8,54.7332,226.4836,0.1282,40790,542.4012,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.6781,127.7160,0.0625,23168,541.5500,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,1,26.7273,229.5661,0.0626,32211,108.0964,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,10,28.1227,383.9819,0.0659,37875,108.2198,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,2,53.8665,309.6683,0.1262,41734,108.1507,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,3,54.6103,191.1643,0.1279,40232,108.1467,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,4,50.6639,328.0974,0.1187,41752,108.0950,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,5,50.5348,205.4991,0.1184,30297,108.1965,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,6,63.0747,331.9570,0.1478,41922,108.0374,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,7,54.8377,286.2130,0.1285,37894,108.2016,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,8,27.4957,172.2774,0.0644,29522,108.1289,0
hetero-E10,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,9,30.1020,231.8437,0.0705,25375,108.0780,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,1,26.7273,229.5661,0.0626,32211,216.7191,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,10,28.1227,383.9819,0.0659,37875,217.3736,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,2,53.8665,309.6683,0.1262,41734,216.6800,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,3,54.6103,191.1643,0.1279,40232,216.2454,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,4,52.7908,438.0479,0.1237,45859,216.9865,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,5,50.5348,205.4991,0.1184,30297,216.8687,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,6,63.0747,331.9570,0.1478,41922,215.9992,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,7,54.8377,286.2130,0.1285,37894,217.0577,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,8,27.4957,172.2774,0.0644,29522,216.6500,0
hetero-E20,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,9,30.7229,327.1633,0.0720,25379,216.4126,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,1,26.6904,246.0174,0.0625,31834,325.6775,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,10,38.9722,374.5175,0.0913,41534,326.8800,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,2,53.8665,309.6683,0.1262,41734,325.3605,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,3,54.6103,191.1643,0.1279,40232,324.3798,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,4,49.8709,351.8489,0.1168,49602,326.2753,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,5,50.5348,205.4991,0.1184,30297,325.5796,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,6,63.0747,331.9570,0.1478,41922,324.1240,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,7,34.7431,168.9293,0.0814,31732,326.0499,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,8,27.4957,172.2774,0.0644,29522,325.0618,0
hetero-E30,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,9,30.7229,327.1633,0.0720,25379,324.7964,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,1,25.6086,219.7991,0.0600,31379,543.0900,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,10,42.5867,392.8152,0.0998,44691,543.4033,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,2,60.0320,409.6543,0.1406,47403,544.0283,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,3,54.6103,191.1643,0.1279,40232,541.4773,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,4,48.7460,360.2419,0.1142,47681,543.6198,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,5,50.5348,205.4991,0.1184,30297,542.4202,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,6,63.3637,358.1983,0.1484,41972,542.9904,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,7,41.4064,216.5665,0.0970,34919,542.8288,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,8,28.3624,154.4389,0.0664,29406,541.8026,0
hetero-E50,SAQMAODV,GAUSS,3,15,0,15,25,0.25,300,9,30.7229,327.1633,0.0720,25379,541.3771,0
